q_dot_occ (kW),q_dot_ac (kW),q_dot_vent (kW),q_dot_solar (kW),T_amb (°C),T_b (°C),Phi (Eur/KWh)
20.8,40,17.97312,0.386444562,2.8,23.79394433,0.18
20.8,40,17.48736,10.52920057,3.4,24.71368136,0.18
20.8,40,17.08256,28.62359325,3.9,26.12172761,0.18
0,40,0,41.78695019,4.5,25.8051487,0.25
20.8,40,16.03008,107.1162966,5.2,31.04062882,0.25
20.8,40,15.54432,93.95101189,5.8,32.27113151,0.25
20.8,40,15.3824,58.76643501,6,31.2701592,0.25
20.8,40,15.30144,20.54444691,6.1,29.60693252,0.25
0,40,0,2.720871681,6.2,26.20673896,0.25
20.8,40,14.9776,0,6.5,27.5711857,0.25
20.8,40,15.22048,0,6.2,27.47289507,0.25
20.8,40,15.13952,0,6.3,27.33687545,0.25
20.8,40,15.13952,0,6.3,27.43163477,0.25
0,40,0,0,7.1,26.04121673,0.25
0,40,0,0,7.2,26.0663441,0.25
0,40,0,0,7.9,26.63884772,0.25
0,40,0,0,8.2,26.94233843,0.25
0,40,0,0,8.3,27.05332433,0.25
0,40,0,0,8.5,27.26619722,0.18
0,40,0,0,9,27.58933999,0.18
0,40,0,0,9,27.69344518,0.18
0,40,0,0,9,27.76411073,0.18
0,40,0,0,8.8,27.69707199,0.18
20.8,40,12.71072,0,9.3,30.84474503,0.18
20.8,40,12.87264,0.386457497,9.1,31.22184917,0.18
20.8,40,13.43936,30.26291503,8.4,31.47692825,0.18
20.8,40,13.27744,82.41394625,8.6,33.64353376,0.25
0,40,0,112.8584285,9,32.63462535,0.25
20.8,40,13.11552,108.1223298,8.8,34.88320718,0.25
20.8,40,13.27744,77.00269079,8.6,34.86697543,0.25
20.8,40,13.43936,37.74788344,8.4,33.19597093,0.25
20.8,40,13.7632,50.8296996,8,32.65724646,0.25
0,40,0,11.59944584,8,29.3006762,0.25
20.8,40,14.41088,0,7.2,30.16827111,0.25
20.8,40,14.9776,0,6.5,29.28254709,0.25
20.8,40,14.65376,0,6.9,29.42843359,0.25
20.8,40,15.22048,0,6.2,29.23889552,0.25
0,40,0,0,6.6,26.72475478,0.25
0,40,0,0,5.5,25.60797619,0.25
0,40,0,0,5.5,25.15908413,0.25
0,40,0,0,5.5,25.1133006,0.25
0,40,0,0,5,25.14545514,0.18
0,40,0,0,4.3,24.92595572,0.18
0,40,0,0,3.8,24.52874117,0.18
0,40,0,0,4.3,24.34485705,0.18
0,40,0,0,5,24.41972,0.18
0,40,0,0,4.8,24.24353416,0.18
20.8,40,16.27296,0,4.9,26.04590241,0.18
20.8,40,16.92064,0.772942244,4.1,25.82453966,0.18
20.8,40,16.67776,11.57040474,4.4,26.13693628,0.25
20.8,40,16.35392,82.43259992,4.8,28.94892997,0.25
0,40,0,119.8331775,5.3,29.91988655,0.25
20.8,40,15.22048,109.3840316,6.2,32.5693922,0.25
20.8,40,15.05856,48.74347234,6.4,31.15043408,0.25
20.8,40,14.9776,38.11370049,6.5,30.42796515,0.25
20.8,40,15.13952,22.20174922,6.3,29.2077611,0.25
0,40,0,3.110499828,6.3,25.95970684,0.25
20.8,40,15.30144,0,6.1,26.96976741,0.25
20.8,40,15.3824,0,6,26.91612695,0.25
20.8,40,15.30144,0,6.1,27.04612754,0.25
20.8,40,14.89664,0,6.6,27.69585356,0.25
0,40,0,0,7.5,26.48634138,0.25
0,40,0,0,7.9,26.59443784,0.25
0,40,0,0,8.1,26.67250051,0.25
0,40,0,0,8.7,27.07887668,0.18
0,40,0,0,6.6,25.74388989,0.18
0,40,0,0,6.5,26.5712503,0.18
0,40,0,0,6.8,26.71899134,0.18
0,40,0,0,8.5,26.98939548,0.18
0,40,0,0,5.1,24.94269284,0.18
0,40,0,0,4.1,24.63201775,0.18
20.8,40,16.192,0,5,26.37241391,0.18
20.8,40,15.22048,0.386485437,6.2,27.56427704,0.25
20.8,40,14.65376,12.08068717,6.9,29.19667421,0.25
20.8,40,14.168,30.26758179,7.5,31.18248387,0.25
0,40,0,22.02996874,7.3,28.87102697,0.25
20.8,40,14.168,25.52901633,7.5,31.47914674,0.25
20.8,40,14.24896,24.70252848,7.4,31.83429706,0.25
20.8,40,14.32992,19.97039931,7.3,31.02384535,0.25
20.8,40,15.13952,11.71522512,6.3,30.73422683,0.25
0,40,0,3.110488564,5.8,27.74507135,0.25
20.8,40,15.70624,0,5.6,28.61060708,0.25
20.8,40,15.7872,0,5.5,28.5996393,0.25
20.8,40,15.7872,0,5.5,28.35439878,0.25
20.8,40,11.09152,0,11.3,32.56440386,0.25
0,40,0,0,8.2,28.1080236,0.25
0,40,0,0,5.5,25.74639104,0.25
0,40,0,0,4.9,24.60971171,0.18
0,40,0,0,5,24.3994798,0.18
0,40,0,0,5.5,24.84558101,0.18
0,40,0,0,5.6,25.42579716,0.18
0,40,0,0,5.6,24.78824387,0.18
0,40,0,0,6.2,24.95645088,0.18
0,40,0,0,5.9,24.93754852,0.18
0,40,0,0,5.4,24.53290673,0.18
20.8,40,15.94912,0,5.3,26.08776664,0.25
20.8,40,15.70624,0.77300088,5.6,26.64461293,0.25
20.8,40,15.46336,29.18583514,5.9,27.64776831,0.25
20.8,40,15.05856,69.76773455,6.4,29.67436532,0.25
0,40,0,106.0317461,7,29.39859669,0.25
20.8,40,14.24896,110.440361,7.4,32.46676161,0.25
20.8,40,14.41088,108.3186319,7.2,32.66466112,0.25
20.8,40,13.92512,106.1503687,7.8,33.4396846,0.25
20.8,40,14.00608,57.44970758,7.7,32.28915311,0.25
0,40,0,23.45321204,7.4,28.19116724,0.25
20.8,40,14.41088,0,7.2,28.71787518,0.25
20.8,40,14.41088,0,7.2,28.68983947,0.25
20.8,40,14.00608,0,7.7,29.13353454,0.25
20.8,40,14.08704,0,7.6,29.1225641,0.25
0,40,0,0,7.6,26.63307389,0.25
0,40,0,0,7.1,25.88800818,0.18
0,40,0,0,6.9,25.4990309,0.18
0,40,0,0,7.1,25.59638893,0.18
0,40,0,0,6.8,25.55231993,0.18
0,40,0,0,6.6,25.44217458,0.18
0,40,0,0,6.6,25.40545017,0.18
0,40,0,0,6.7,25.42030105,0.18
0,40,0,0,6.4,25.22025946,0.18
0,40,0,0,6.4,25.19605693,0.25
20.8,40,14.9776,0,6.5,27.34515207,0.25
20.8,40,15.05856,0.773032258,6.4,27.69843052,0.25
20.8,40,15.13952,30.28839436,6.3,28.48370574,0.25
20.8,40,14.89664,83.03844489,6.6,30.84952393,0.25
0,40,0,118.2521033,7.3,30.67420873,0.25
20.8,40,14.65376,98.27886132,6.9,32.73453394,0.25
20.8,40,14.65376,49.44540395,6.9,31.67034048,0.25
20.8,40,14.65376,40.84154644,6.9,30.74836778,0.25
20.8,40,14.81568,24.24857375,6.7,30.00883618,0.25
0,40,0,6.626252238,6.2,26.85488515,0.25
20.8,40,15.3824,0,6,27.64497607,0.25
20.8,40,15.46336,0,5.9,27.87548833,0.25
20.8,40,15.54432,0,5.8,27.95077459,0.25
20.8,40,15.54432,0,5.8,27.87528901,0.25
0,40,0,0,5.4,26.04118195,0.18
0,40,0,0,5,25.62219368,0.18
0,40,0,0,5.4,25.21927775,0.18
0,40,0,0,5.2,24.94602915,0.18
0,40,0,0,4.8,25.30075096,0.18
0,40,0,0,5,25.1022565,0.18
0,40,0,0,4.5,25.01679972,0.18
0,40,0,0,4.3,25.50431081,0.18
0,40,0,0,4.2,25.44425154,0.25
0,40,0,0,4.3,26.00242237,0.25
20.8,40,16.83968,0,4.2,27.51819407,0.25
20.8,40,16.92064,0.386532503,4.1,29.06976998,0.25
20.8,40,16.75872,5.92529734,4.3,31.53948452,0.25
20.8,40,16.5968,15.32258532,4.5,34.11188069,0.25
0,40,0,45.88301007,4.8,35.17904773,0.25
20.8,40,16.03008,26.72174318,5.2,38.42618441,0.25
20.8,40,15.62528,26.28565887,5.7,38.40286808,0.25
20.8,40,15.70624,21.15190765,5.6,35.80958679,0.25
20.8,40,16.03008,12.89231939,5.2,33.51663073,0.25
0,40,0,3.8902396,4.5,29.55630716,0.25
20.8,40,17.0016,0,4,28.09530413,0.25
20.8,40,17.08256,0,3.9,27.40753497,0.25
20.8,40,17.16352,0,3.8,26.82375602,0.25
20.8,40,17.0016,0,4,26.2122208,0.18
0,40,0,0,4.9,25.52384658,0.18
0,40,0,0,10.1,27.87294845,0.18
0,40,0,0,11,29.04416157,0.18
0,40,0,0,11.1,29.40534232,0.18
0,40,0,0,11.5,29.74886042,0.18
0,40,0,0,11.5,29.82203189,0.18
0,40,0,0,11.7,29.9550131,0.18
0,40,0,0,11.8,30.17264097,0.25
0,40,0,0,11.8,30.18157632,0.25
0,40,0,0,11.9,30.19928228,0.25
20.8,40,10.68672,0,11.8,34.15246497,0.25
20.8,40,11.49632,0.386549558,10.8,34.47567649,0.25
20.8,40,11.7392,5.865901854,10.5,34.09589836,0.25
20.8,40,11.7392,15.73249222,10.5,33.95175789,0.25
0,40,0,23.2195548,9.5,30.27721778,0.25
20.8,40,13.84416,27.11874319,7.9,32.05134048,0.25
20.8,40,14.08704,50.49445899,7.6,33.77796659,0.25
20.8,40,15.54432,21.54585115,5.8,30.31299728,0.25
20.8,40,17.64928,13.28483365,3.2,25.70756162,0.25
0,40,0,3.890221785,3.4,22.82057813,0.25
20.8,40,17.89216,0,2.9,22.70564162,0.25
20.8,40,16.51584,0,4.6,24.57909867,0.25
20.8,40,16.51584,0,4.6,25.14734077,0.18
20.8,40,16.5968,0,4.5,25.34846809,0.18
0,40,0,0,4.8,23.9800425,0.18
0,40,0,0,4.3,23.56013718,0.18
0,40,0,0,3.6,22.6068306,0.18
0,40,0,0,3.8,23.0848836,0.18
0,40,0,0,3.3,22.65240095,0.18
0,40,0,0,3.6,22.67811978,0.18
0,40,0,0,3.5,23.05269319,0.25
0,40,0,0,2.7,22.32859407,0.25
0,40,0,0,1.1,20.90044424,0.25
0,40,0,0,2.5,21.17395676,0.25
20.8,40,19.0256,0,1.5,21.56472495,0.25
20.8,40,18.05408,1.932836469,2.7,23.16097478,0.25
20.8,40,17.48736,45.79227224,3.4,26.572816,0.25
20.8,40,16.67776,93.77340556,4.4,30.45071972,0.25
0,40,0,53.00293808,4.5,28.32390563,0.25
20.8,40,16.92064,27.91966541,4.1,27.82299219,0.25
20.8,40,16.5968,27.47338913,4.5,27.9619855,0.25
20.8,40,16.75872,22.33440888,4.3,27.60226341,0.25
20.8,40,16.83968,14.0704014,4.2,27.78889191,0.25
0,40,0,4.280330732,3.6,24.66587511,0.25
20.8,40,17.48736,0,3.4,24.88375927,0.25
20.8,40,17.56832,0,3.3,24.752349,0.18
20.8,40,17.89216,0,2.9,23.83126586,0.18
20.8,40,19.0256,0,1.5,22.08688183,0.18
0,40,0,0,0.3,20.08022055,0.18
0,40,0,0,1.2,19.9659603,0.18
0,40,0,0,1.6,20.40071533,0.18
0,40,0,0,4,22.33112676,0.18
0,40,0,0,7.4,25.05318624,0.18
0,40,0,0,9.5,27.30602346,0.25
0,40,0,0,9.5,27.95976223,0.25
0,40,0,0,9.8,28.36765315,0.25
0,40,0,0,9.4,28.25932292,0.25
0,40,0,0,9.5,28.194106,0.25
20.8,40,12.62976,0,9.4,31.19596172,0.25
20.8,40,12.9536,0.386585706,9,31.41235644,0.25
20.8,40,13.27744,14.98616027,8.6,31.48501662,0.25
20.8,40,12.9536,16.54781894,9,31.96516563,0.25
0,40,0,48.05879733,8.8,29.76765668,0.25
20.8,40,12.71072,67.89566833,9.3,33.24023982,0.25
20.8,40,12.87264,74.673478,9.1,34.23635655,0.25
20.8,40,12.87264,76.18627625,9.1,34.6719151,0.25
20.8,40,13.19648,66.14479674,8.7,34.20885225,0.25
0,40,0,11.33488397,8.7,29.64611641,0.25
20.8,40,13.60128,0.387622305,8.2,30.475115,0.18
20.8,40,13.68224,0,8.1,30.68028495,0.18
20.8,40,14.00608,0,7.7,30.25345102,0.18
20.8,40,14.41088,0,7.2,29.81032967,0.18
0,40,0,0,7.6,27.43732325,0.18
0,40,0,0,7.5,26.89754908,0.18
0,40,0,0,7.4,26.86172004,0.18
0,40,0,0,7.2,26.65449993,0.18
0,40,0,0,7.2,26.57637669,0.25
0,40,0,0,7.3,26.61847681,0.25
0,40,0,0,7.3,26.42045649,0.25
0,40,0,0,7.7,26.75030265,0.25
0,40,0,0,8,26.94110659,0.25
0,40,0,0,7.8,27.00711438,0.25
20.8,40,14.168,0,7.5,29.4242634,0.25
20.8,40,13.68224,1.933023957,8.1,30.31664909,0.25
20.8,40,13.68224,16.12734987,8.1,31.47698205,0.25
20.8,40,13.27744,34.86083696,8.6,32.58283733,0.25
0,40,0,48.54069814,8.9,31.07714018,0.25
20.8,40,13.7632,28.30812207,8,33.71439205,0.25
20.8,40,12.79168,27.86552469,9.2,34.45912332,0.25
20.8,40,13.19648,23.12267306,8.7,34.5372665,0.25
20.8,40,13.27744,14.4628089,8.6,34.05113547,0.25
0,40,0,8.975717373,8.3,30.95563944,0.18
20.8,40,13.68224,0.38762455,8.1,31.97536361,0.18
20.8,40,14.00608,0,7.7,32.26078987,0.18
20.8,40,14.32992,0,7.3,32.32721464,0.18
20.8,40,14.49184,0,7.1,31.89919673,0.18
0,40,0,0,7.2,29.25785692,0.18
0,40,0,0,6.8,28.16040039,0.18
0,40,0,0,6.2,27.65053662,0.18
0,40,0,0,5.4,26.77419056,0.25
0,40,0,0,5.4,26.38845697,0.25
0,40,0,0,4.7,24.76222836,0.25
0,40,0,0,4.3,23.81503597,0.25
0,40,0,0,4,23.65194784,0.25
0,40,0,0,3.1,23.98308703,0.25
0,40,0,0,2.6,24.43937474,0.25
20.8,40,18.70176,0,1.9,24.80291694,0.25
20.8,40,18.86368,2.31974728,1.7,24.42298965,0.25
20.8,40,19.0256,47.08649116,1.5,29.37859121,0.25
20.8,40,17.56832,91.46386323,3.3,36.21204472,0.25
0,40,0,116.1803099,4.3,39.24445764,0.25
20.8,40,16.03008,132.9154473,5.2,41.9835526,0.25
20.8,40,15.70624,123.3985789,5.6,38.34169282,0.25
20.8,40,15.70624,121.7131692,5.6,37.60667817,0.25
20.8,40,16.03008,97.48862826,5.2,37.07465913,0.18
0,40,0,37.72491641,4.5,31.45068611,0.18
20.8,40,17.24448,0.775860241,3.7,28.90541795,0.18
20.8,40,18.94464,0,1.6,26.93889779,0.18
20.8,40,17.89216,0,2.9,26.48210363,0.18
20.8,40,18.70176,0,1.9,26.72928332,0.18
0,40,0,0,1.2,25.82769133,0.18
0,40,0,0,0.5,26.19150888,0.18
0,40,0,0,0.3,24.79402039,0.25
0,40,0,0,0,23.36708256,0.25
0,40,0,0,0.7,23.45192941,0.25
0,40,0,0,-0.2,23.14563343,0.25
0,40,0,0,0.7,22.67924937,0.25
0,40,0,0,1.8,22.41743444,0.25
0,40,0,0,1.6,22.20144064,0.25
0,40,0,0,2,22.04164903,0.25
20.8,40,18.6208,0,2,22.59719623,0.25
20.8,40,18.45888,0.773289936,2.2,22.89335987,0.25
20.8,40,17.8112,7.513043931,3,23.64562259,0.25
20.8,40,17.4064,17.76020375,3.5,24.64768582,0.25
0,40,0,25.63008199,2.9,23.2283619,0.25
20.8,40,17.56832,29.5031693,3.3,24.49682746,0.25
20.8,40,17.16352,55.45208547,3.8,26.20718838,0.25
20.8,40,16.75872,24.30601039,4.3,26.07822148,0.18
20.8,40,16.27296,15.64174978,4.9,26.3020505,0.18
0,40,0,5.45147832,5.1,24.65412053,0.18
20.8,40,15.7872,0.387636996,5.5,26.15547697,0.18
20.8,40,15.62528,0,5.7,26.78129231,0.18
20.8,40,15.3824,0,6,27.24362099,0.18
20.8,40,15.13952,0,6.3,27.66893314,0.18
0,40,0,0,6.5,25.75750067,0.18
0,40,0,0,6.4,25.31989933,0.25
0,40,0,0,6,24.90212982,0.25
0,40,0,0,5.6,26.45985331,0.25
0,40,0,0,5.3,27.17387717,0.25
0,40,0,0,5.2,27.41648451,0.25
0,40,0,0,5.4,28.53722471,0.25
0,40,0,0,5.7,29.349373,0.25
0,40,0,0,6,28.88608331,0.25
0,40,0,0,5.7,29.42598619,0.25
20.8,40,15.46336,0,5.9,31.01864975,0.25
20.8,40,15.62528,0.770452101,5.7,31.11522356,0.25
20.8,40,15.54432,7.90836573,5.8,31.6799969,0.25
20.8,40,15.13952,18.53291765,6.3,33.14375494,0.25
0,40,0,26.34602642,6.8,32.37196104,0.25
20.8,40,14.49184,60.06611493,7.1,36.22550174,0.25
20.8,40,14.32992,56.38350655,7.3,36.43548956,0.18
20.8,40,14.32992,48.14421558,7.3,35.90125234,0.18
20.8,40,14.24896,31.42430356,7.4,34.84426661,0.18
0,40,0,11.28843535,7.1,31.17729769,0.18
20.8,40,14.5728,0.772940383,7,31.33553899,0.18
20.8,40,14.65376,0,6.9,30.89193704,0.18
20.8,40,14.5728,0,7,30.78118842,0.18
20.8,40,14.65376,0,6.9,30.65299673,0.18
0,40,0,0,6.9,28.20113047,0.25
0,40,0,0,6.7,27.92876582,0.25
0,40,0,0,6.6,27.86447622,0.25
0,40,0,0,6.7,27.90285404,0.25
0,40,0,0,6.6,27.86897955,0.25
0,40,0,0,6.8,27.96240202,0.25
0,40,0,0,6.7,27.95400175,0.25
0,40,0,0,6.5,28.42262228,0.25
0,40,0,0,6.2,28.52191517,0.25
0,40,0,0,6,27.80835519,0.25
20.8,40,15.22048,0,6.2,29.32300468,0.25
20.8,40,15.30144,1.15574337,6.1,29.98652578,0.25
20.8,40,15.22048,8.329592638,6.2,30.76654519,0.25
20.8,40,15.05856,39.05164857,6.4,33.14864423,0.25
0,40,0,52.50943333,7,34.36979269,0.25
20.8,40,14.24896,59.2240861,7.4,38.89368615,0.18
20.8,40,14.168,30.12736405,7.5,38.54312126,0.18
20.8,40,13.84416,49.07549623,7.9,39.75018669,0.18
20.8,40,13.92512,32.39436883,7.8,39.12574637,0.18
0,40,0,11.67924131,6.9,34.00979681,0.18
20.8,40,15.22048,0.772931851,6.2,32.33115784,0.18
20.8,40,15.62528,0,5.7,30.18406049,0.18
20.8,40,15.86816,0,5.4,29.0478442,0.18
20.8,40,15.70624,0,5.6,29.28349929,0.25
0,40,0,0,5.6,27.41751867,0.25
0,40,0,0,5.7,26.63167864,0.25
0,40,0,0,5.9,26.87554447,0.25
0,40,0,0,6.1,27.14753445,0.25
0,40,0,0,6.6,27.14957124,0.25
0,40,0,0,6.7,27.19730209,0.25
0,40,0,0,6.9,27.33707011,0.25
0,40,0,0,6.4,28.08198909,0.25
0,40,0,0,6.1,27.70388356,0.25
0,40,0,0,5.4,26.63876089,0.25
20.8,40,15.22048,0,6.2,28.82863035,0.25
20.8,40,14.81568,1.155810545,6.7,29.89551705,0.25
20.8,40,14.49184,21.05657712,7.1,31.22529626,0.25
20.8,40,14.168,39.25474185,7.5,32.51920209,0.25
0,40,0,53.46817094,7.7,31.68272295,0.18
20.8,40,14.08704,46.00082623,7.6,33.69967412,0.18
20.8,40,14.168,30.51958597,7.5,33.04090723,0.18
20.8,40,14.00608,50.04200488,7.7,33.3283308,0.18
20.8,40,13.92512,33.2037502,7.8,33.23546905,0.18
0,40,0,12.46211768,7.7,29.90977587,0.18
20.8,40,14.00608,0.772929833,7.7,31.10682679,0.18
20.8,40,13.7632,0,8,31.18679885,0.18
20.8,40,13.52032,0,8.3,31.22929759,0.25
20.8,40,13.60128,0,8.2,31.13125592,0.25
0,40,0,0,8.9,28.81150313,0.25
0,40,0,0,8.8,28.33235749,0.25
0,40,0,0,9,28.35587612,0.25
0,40,0,0,8.8,28.25164956,0.25
0,40,0,0,8.8,28.2106168,0.25
0,40,0,0,8.7,28.31280413,0.25
0,40,0,0,8.7,28.57820555,0.25
0,40,0,0,9,28.87148499,0.25
0,40,0,0,8.7,28.80142669,0.25
0,40,0,0,8.9,28.65520503,0.25
20.8,40,13.11552,0,8.8,30.83311818,0.25
20.8,40,13.11552,1.155879659,8.8,31.34124505,0.25
20.8,40,12.9536,9.166964314,9,31.79223631,0.25
20.8,40,12.71072,40.30326379,9.3,33.45234746,0.18
0,40,0,27.52893561,9.6,30.55045762,0.18
20.8,40,12.144,62.94149188,10,34.38078875,0.18
20.8,40,12.22496,45.57799732,9.9,34.32158494,0.18
20.8,40,12.30592,26.18250184,9.8,33.57468311,0.18
20.8,40,12.30592,75.93011251,9.8,34.926633,0.18
0,40,0,31.03836769,9.8,30.9171335,0.18
20.8,40,12.06304,1.160060692,10.1,32.65144496,0.18
20.8,40,12.30592,0,9.8,32.56357058,0.25
20.8,40,12.144,0,10,33.23683992,0.25
20.8,40,12.87264,0,9.1,32.14764502,0.25
0,40,0,0,8.1,27.86243508,0.25
0,40,0,0,7.8,26.73422578,0.25
0,40,0,0,8,26.5400422,0.25
0,40,0,0,7.4,26.08311665,0.25
0,40,0,0,7.3,25.93924137,0.25
0,40,0,0,7.4,25.90501853,0.25
0,40,0,0,7.4,25.89738631,0.25
0,40,0,0,7.3,25.76459445,0.25
0,40,0,0,7.3,25.85023154,0.25
0,40,0,0,8,26.22676281,0.25
20.8,40,17.24448,0,3.7,24.72387969,0.25
20.8,40,15.22048,2.311901392,6.2,26.86585591,0.25
20.8,40,14.89664,60.0094954,6.6,29.82924589,0.18
20.8,40,14.9776,114.4695041,6.5,31.35547335,0.18
0,40,0,62.09923062,6.7,28.5351059,0.18
20.8,40,14.65376,116.0829345,6.9,32.0400419,0.18
20.8,40,14.65376,137.1736768,6.9,33.58641834,0.18
20.8,40,15.05856,104.0421048,6.4,32.8381028,0.18
20.8,40,15.22048,79.95569653,6.2,31.62147217,0.18
0,40,0,32.88686929,6,27.74772184,0.18
20.8,40,15.54432,2.323822906,5.8,27.86497996,0.25
20.8,40,16.51584,0,4.6,26.46006285,0.25
20.8,40,15.94912,0,5.3,26.53802889,0.25
20.8,40,15.94912,0,5.3,26.57476182,0.25
0,40,0,0,4.2,24.16022924,0.25
0,40,0,0,3.2,22.54415822,0.25
0,40,0,0,3.2,21.91056994,0.25
0,40,0,0,3.7,22.65574154,0.25
0,40,0,0,3.8,22.88678286,0.25
0,40,0,0,3.5,22.89918305,0.25
0,40,0,0,4.2,23.21052523,0.25
0,40,0,0,4.1,23.25958014,0.25
0,40,0,0,4.1,23.4130168,0.25
0,40,0,0,4.3,23.60017522,0.25
20.8,40,16.75872,0,4.3,25.04823834,0.25
20.8,40,17.89216,5.009435758,2.9,26.30735374,0.18
20.8,40,17.0016,23.70172972,4,26.97312264,0.18
20.8,40,17.24448,42.77268884,3.7,27.30801584,0.18
0,40,0,57.11775791,4,26.50335051,0.18
